rssi,mac_address,timestamp,distance
-62,B0:B4:48:BC:63:07,145858987232,5.24
-62,B0:B4:48:BC:63:07,145858987233,5.24
-63,B0:B4:48:BC:63:07,145858987233,5.48
-63,B0:B4:48:BC:63:07,145858987233,5.48
-64,B0:B4:48:BC:63:07,145858987233,5.71
-64,B0:B4:48:BC:63:07,145858987233,5.71
-63,B0:B4:48:BC:63:07,145858987233,5.48
-64,B0:B4:48:BC:63:07,145858987233,5.71
-64,B0:B4:48:BC:63:07,145858987275,5.71
-65,B0:B4:48:BC:63:07,145858987275,5.95
-65,B0:B4:48:BC:63:07,145858987275,5.95
-64,B0:B4:48:BC:63:07,145858987275,5.71
-63,B0:B4:48:BC:63:07,145858987275,5.48
-64,B0:B4:48:BC:63:07,145858987275,5.71
-64,B0:B4:48:BC:63:07,145858987275,5.71
-65,B0:B4:48:BC:63:07,145858987275,5.95
-65,B0:B4:48:BC:63:07,145858987328,5.95
-62,B0:B4:48:BC:63:07,145858987328,5.24
-62,B0:B4:48:BC:63:07,145858987328,5.24
-63,B0:B4:48:BC:63:07,145858987328,5.48
-63,B0:B4:48:BC:63:07,145858987328,5.48
-63,B0:B4:48:BC:63:07,145858987328,5.48
-63,B0:B4:48:BC:63:07,145858987328,5.48
-63,B0:B4:48:BC:63:07,145858987328,5.48
-62,B0:B4:48:BC:63:07,145858987402,5.24
-63,B0:B4:48:BC:63:07,145858987402,5.48
-62,B0:B4:48:BC:63:07,145858987402,5.24
-63,B0:B4:48:BC:63:07,145858987402,5.48
-63,B0:B4:48:BC:63:07,145858987402,5.48
-62,B0:B4:48:BC:63:07,145858987402,5.24
-63,B0:B4:48:BC:63:07,145858987402,5.48
-62,B0:B4:48:BC:63:07,145858987402,5.24
-63,B0:B4:48:BC:63:07,145858987442,5.48
-62,B0:B4:48:BC:63:07,145858987442,5.24
-66,B0:B4:48:BC:63:07,145858987442,6.19
-65,B0:B4:48:BC:63:07,145858987442,5.95
-63,B0:B4:48:BC:63:07,145858987442,5.48
-63,B0:B4:48:BC:63:07,145858987442,5.48
-62,B0:B4:48:BC:63:07,145858987442,5.24
-62,B0:B4:48:BC:63:07,145858987442,5.24
-62,B0:B4:48:BC:63:07,145858987494,5.24
-62,B0:B4:48:BC:63:07,145858987494,5.24
-62,B0:B4:48:BC:63:07,145858987494,5.24
-62,B0:B4:48:BC:63:07,145858987495,5.24
-62,B0:B4:48:BC:63:07,145858987495,5.24
-63,B0:B4:48:BC:63:07,145858987495,5.48
-62,B0:B4:48:BC:63:07,145858987495,5.24
-64,B0:B4:48:BC:63:07,145858987495,5.71
-64,B0:B4:48:BC:63:07,145858987546,5.71
-62,B0:B4:48:BC:63:07,145858987546,5.24
-62,B0:B4:48:BC:63:07,145858987546,5.24
-65,B0:B4:48:BC:63:07,145858987546,5.95
-64,B0:B4:48:BC:63:07,145858987546,5.71
-62,B0:B4:48:BC:63:07,145858987546,5.24
-62,B0:B4:48:BC:63:07,145858987546,5.24
